Fiscal Year,Agency Name,Payee Name,Payee Zip,Amount,Purpose of Payment (Baltimore County only),MBE
2019,Anne Arundel Co. Public Schools,SDE Inc,03458-0577,35700.0,,
2019,Anne Arundel Co. Public Schools,CAREFIRST BLUE CROSS,21117,195673228.47,,
2019,Anne Arundel Co. Public Schools,ELECTRONIC FUNDS TRANSF PROG,80217-3788,155308576.83,,
2019,Anne Arundel Co. Public Schools,MD STATE RETIREMENT SYSTEM,21201,75577471.66,,
2019,Anne Arundel Co. Public Schools,COMPTROLLER OF MARYLAND,21401,41194739.77,,
2019,Anne Arundel Co. Public Schools,VALIC RETIREMENT SERVICES CO,77019,23122132.16,,
2019,Anne Arundel Co. Public Schools,TOWSON MECHANICAL INC,21234,18119114.41,,
2019,Anne Arundel Co. Public Schools,URBAN N ZINK CONTRACTOR INC,21027,13300121.7,,
2019,Anne Arundel Co. Public Schools,Monarch Academy Public Charter School,21234,11346453.21,,
2019,Anne Arundel Co. Public Schools,DISYS,20147,10755797.88,,
2019,Anne Arundel Co. Public Schools,"KaRon Masonry of Maryland, Inc.",20763,10594557.88,,
2019,Anne Arundel Co. Public Schools,U S BANK,63179-0428,10115638.56,,
2019,Anne Arundel Co. Public Schools,SA HALAC IRON WORKS INC,20166,9867441.46,,
2019,Anne Arundel Co. Public Schools,HP FINANCIAL SERVICES CORP.,07922,9191527.53,,
2019,Anne Arundel Co. Public Schools,"WGL ENERGY SERVICES, INC.",21093,8998479.66,,
2019,Anne Arundel Co. Public Schools,PHILLIPS WAY INC,21048,8948526.45,,
2019,Anne Arundel Co. Public Schools,KENNEDY KRIEGER INSTITUTE,21205,8376345.6,,
2019,Anne Arundel Co. Public Schools,ENTERPRISE ELECTRIC,21213,8168246.31,,
2019,Anne Arundel Co. Public Schools,Smith Bus Service Inc,60693-0322,8128743.88,,
2019,Anne Arundel Co. Public Schools,CDW LLC DBA CDW Government LLC,06484,7360190.08,,
2019,Anne Arundel Co. Public Schools,DORI FOOD INC,23230,7108827.29,,
2019,Anne Arundel Co. Public Schools,ANNAPOLIS BUS CO INC,21403,7089103.5,,
2019,Anne Arundel Co. Public Schools,Sheppard Pratt Health System Inc DBA Forbush School,21031,7062832.72,,
2019,Anne Arundel Co. Public Schools,DENVER-ELEK INC,21221,6712173.23,,
2019,Anne Arundel Co. Public Schools,ELECTRICAL AUTOMATION SERVICES,21122,6420334.74,,
2019,Anne Arundel Co. Public Schools,VATICA CONTRACTING INC,20781,6321944.72,,
2019,Anne Arundel Co. Public Schools,BALTIMORE GAS & ELECTRIC CO,19101-3070,5928703.33,,
2019,Anne Arundel Co. Public Schools,"G H Nitzel, Inc.",21162,5360826.36,,
2019,Anne Arundel Co. Public Schools,ZEPHYR ALUMINUM INC,21784,5323112.77,,
2019,Anne Arundel Co. Public Schools,WILLIAM KLINGENSMITH INC,20740,5300251.36,,
2019,Anne Arundel Co. Public Schools,GEORGE MOEHRLE MASONRY INC,21703-7849,5020116.02,,
2019,Anne Arundel Co. Public Schools,JUBBS BUS SERVICE INC,21060,4793011.24,,
2019,Anne Arundel Co. Public Schools,TEACHERS ASSOCIATION OF ANNE ARUNDEL CO,21401,4742069.37,,
2019,Anne Arundel Co. Public Schools,"BALTIMORE CONTRACTORS, INC",21061,4606703.03,,
2019,Anne Arundel Co. Public Schools,CITIROOF CORPORATION,21046-1577,4569629.16,,
2019,Anne Arundel Co. Public Schools,KEY SYSTEMS INC,21162,4514068.4,,
2019,Anne Arundel Co. Public Schools,GE TIGNALL,21030,4445818.3,,
2019,Anne Arundel Co. Public Schools,CANYON CONTRACTING INC.,21771-7784,4343977.07,,
2019,Anne Arundel Co. Public Schools,BOWINGS & HUBER LLC DBA: BOMARK ELECTRIC,21074,4334000.79,,
2019,Anne Arundel Co. Public Schools,LONERGAN'S CHARTER SERVICE INC,21108,4213195.17,,
2019,Anne Arundel Co. Public Schools,HOMEWOOD GENERAL CONTRACTORS,21030,4206825.03,,
2019,Anne Arundel Co. Public Schools,"ANNE ARUNDEL COUNTY, MD ACCOUNTING & CONTROL",21404,3989151.43,,
2019,Anne Arundel Co. Public Schools,HARBOUR SCHOOL,21409,3935319.55,,
2019,Anne Arundel Co. Public Schools,LOCUST LANE FARMS INC,20773,3919492.72,,
2019,Anne Arundel Co. Public Schools,JACOBS PROJECT MANAGEMENT CO,22201,3822090.65,,
2019,Anne Arundel Co. Public Schools,SPECIALIZED EDUC OF MD INC,08103,3718838.13,,
2019,Anne Arundel Co. Public Schools,TEMP-AIR COMPANY INC,21117,3667096.49,,
2019,Anne Arundel Co. Public Schools,DALY COMPUTERS INC,20871,3618898.98,,
2019,Anne Arundel Co. Public Schools,"ACTION ELECTRICAL CONTRACTORS, INC",21001,3160069.19,,
2019,Anne Arundel Co. Public Schools,CHESAPEAKE CHARTER INC,21409,3144927.63,,
2019,Anne Arundel Co. Public Schools,RE WILSON & SONS INC,21032,2908747.89,,
2019,Anne Arundel Co. Public Schools,CROFTON CHARTERS INC .,21054,2887457.46,,
2019,Anne Arundel Co. Public Schools,NORTH POINT BUILDERS INC,21222-1031,2885747.78,,
2019,Anne Arundel Co. Public Schools,MBG ENTERPRISES,21077,2805858.33,,
2019,Anne Arundel Co. Public Schools,MARYLAND MECHANICAL SYSTEMS,21224,2672189.92,,
2019,Anne Arundel Co. Public Schools,TECH CONTRACTING CO INC,21224,2661739.86,,
2019,Anne Arundel Co. Public Schools,SODY CONCRETE CONSTRUCTION INC,21236,2660664.64,,
2019,Anne Arundel Co. Public Schools,M3 Contracting LLC,19713,2639996.42,,
2019,Anne Arundel Co. Public Schools,HUBERS II INC,21061,2602318.86,,
